"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Full Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Temp, °C (LGR S/N: 20758339, SEN S/N: 20758339)","Coupler Detached (LGR S/N: 20758339)","Coupler Attached (LGR S/N: 20758339)","Host Connected (LGR S/N: 20758339)","Stopped (LGR S/N: 20758339)","End Of File (LGR S/N: 20758339)"
274,01/18/22 04:30:00 AM,1143.4,1142.8,4.37,,,,,
275,01/18/22 05:00:00 AM,1143.1,1142.0,4.36,,,,,
276,01/18/22 05:30:00 AM,1142.6,1142.0,4.34,,,,,
277,01/18/22 06:00:00 AM,1141.1,1140.4,4.31,,,,,
278,01/18/22 06:30:00 AM,1140.4,1139.7,4.28,,,,,
279,01/18/22 07:00:00 AM,1139.3,1138.5,4.28,,,,,
280,01/18/22 07:30:00 AM,1138.4,1137.7,4.25,,,,,
281,01/18/22 08:00:00 AM,1140.5,1139.6,4.31,,,,,
282,01/18/22 08:30:00 AM,1140.3,1139.7,4.30,,,,,
283,01/18/22 09:00:00 AM,1143.1,1142.0,4.38,,,,,
284,01/18/22 09:30:00 AM,1141.6,1140.8,4.33,,,,,
285,01/18/22 10:00:00 AM,1146.3,1145.4,4.50,,,,,
286,01/18/22 10:30:00 AM,1144.9,1144.3,4.46,,,,,
287,01/18/22 11:00:00 AM,1146.3,1145.4,4.51,,,,,
288,01/18/22 11:30:00 AM,1146.0,1145.0,4.50,,,,,
289,01/18/22 12:00:00 PM,1147.9,1146.9,4.57,,,,,
290,01/18/22 12:30:00 PM,1153.6,1153.2,4.75,,,,,
291,01/18/22 01:00:00 PM,1150.4,1150.5,4.65,,,,,
292,01/18/22 01:30:00 PM,1150.1,1150.1,4.65,,,,,
293,01/18/22 02:00:00 PM,1153.0,1152.8,4.71,,,,,
294,01/18/22 02:30:00 PM,1149.5,1149.3,4.64,,,,,
295,01/18/22 03:00:00 PM,1143.5,1143.0,4.50,,,,,
296,01/18/22 03:30:00 PM,1136.0,1135.6,4.32,,,,,
297,01/18/22 04:00:00 PM,1140.9,1140.7,4.45,,,,,
298,01/18/22 04:30:00 PM,1139.8,1139.9,4.40,,,,,
299,01/18/22 05:00:00 PM,1143.0,1142.7,4.46,,,,,
300,01/18/22 05:30:00 PM,1143.5,1143.0,4.48,,,,,
301,01/18/22 06:00:00 PM,1142.9,1142.7,4.45,,,,,
302,01/18/22 06:30:00 PM,1141.3,1141.1,4.40,,,,,
303,01/18/22 07:00:00 PM,1140.1,1139.6,4.38,,,,,
304,01/18/22 07:30:00 PM,1139.4,1138.8,4.34,,,,,
305,01/18/22 08:00:00 PM,1138.3,1137.6,4.33,,,,,
306,01/18/22 08:30:00 PM,1137.2,1137.2,4.33,,,,,
307,01/18/22 09:00:00 PM,1137.3,1137.2,4.33,,,,,
308,01/18/22 09:30:00 PM,1136.4,1136.4,4.32,,,,,
309,01/18/22 10:00:00 PM,1136.9,1136.3,4.38,,,,,
310,01/18/22 10:30:00 PM,1138.0,1137.5,4.39,,,,,
311,01/18/22 11:00:00 PM,1138.0,1137.5,4.39,,,,,
312,01/18/22 11:30:00 PM,1137.9,1137.5,4.38,,,,,
313,01/19/22 12:00:00 AM,1137.4,1137.2,4.37,,,,,
314,01/19/22 12:30:00 AM,1138.0,1137.5,4.39,,,,,
315,01/19/22 01:00:00 AM,1137.9,1137.6,4.37,,,,,
316,01/19/22 01:30:00 AM,1137.8,1137.6,4.37,,,,,
317,01/19/22 02:00:00 AM,1137.3,1137.2,4.36,,,,,
318,01/19/22 02:30:00 AM,1137.9,1137.5,4.38,,,,,
319,01/19/22 03:00:00 AM,1139.2,1139.1,4.39,,,,,
320,01/19/22 03:30:00 AM,1138.7,1138.3,4.38,,,,,
321,01/19/22 04:00:00 AM,1139.5,1139.5,4.40,,,,,
322,01/19/22 04:30:00 AM,1141.3,1141.1,4.44,,,,,
323,01/19/22 05:00:00 AM,1140.8,1140.6,4.48,,,,,
324,01/19/22 05:30:00 AM,1143.5,1143.0,4.49,,,,,
325,01/19/22 06:00:00 AM,1142.6,1141.8,4.48,,,,,
326,01/19/22 06:30:00 AM,1141.1,1140.6,4.49,,,,,
327,01/19/22 07:00:00 AM,1141.0,1140.7,4.46,,,,,
328,01/19/22 07:30:00 AM,1141.1,1140.6,4.48,,,,,
329,01/19/22 08:00:00 AM,1138.1,1137.5,4.44,,,,,
330,01/19/22 08:30:00 AM,1137.9,1137.5,4.45,,,,,
331,01/19/22 09:00:00 AM,1130.0,1130.7,4.39,,,,,
332,01/19/22 09:30:00 AM,1130.9,1131.5,4.43,,,,,
333,01/19/22 10:00:00 AM,1120.2,1120.5,4.25,,,,,
334,01/19/22 10:30:00 AM,1121.8,1122.4,4.32,,,,,
335,01/19/22 11:00:00 AM,1123.0,1123.5,4.39,,,,,
336,01/19/22 11:30:00 AM,1125.1,1125.4,4.45,,,,,
337,01/19/22 12:00:00 PM,1122.8,1123.4,4.43,,,,,
338,01/19/22 12:30:00 PM,1127.8,1128.1,4.54,,,,,
339,01/19/22 01:00:00 PM,1128.5,1128.1,4.55,,,,,
340,01/19/22 01:30:00 PM,1128.1,1128.1,4.56,,,,,
341,01/19/22 02:00:00 PM,1122.4,1122.9,4.52,,,,,
342,01/19/22 02:30:00 PM,1117.9,1118.7,4.40,,,,,
343,01/19/22 03:00:00 PM,1119.7,1118.7,4.39,,,,,
344,01/19/22 03:30:00 PM,1118.3,1117.5,4.33,,,,,
345,01/19/22 04:00:00 PM,1112.7,1112.0,4.24,,,,,
346,01/19/22 04:30:00 PM,1113.6,1112.9,4.21,,,,,
347,01/19/22 05:00:00 PM,1113.6,1112.9,4.21,,,,,
348,01/19/22 05:30:00 PM,1111.7,1110.9,4.18,,,,,
349,01/19/22 06:00:00 PM,1107.6,1107.0,4.08,,,,,
350,01/19/22 06:30:00 PM,1102.3,1101.6,3.95,,,,,
351,01/19/22 07:00:00 PM,1100.7,1100.0,3.90,,,,,
352,01/19/22 07:30:00 PM,1100.3,1099.2,3.88,,,,,
353,01/19/22 08:00:00 PM,1101.0,1100.0,3.89,,,,,
354,01/19/22 08:30:00 PM,1099.8,1098.9,3.83,,,,,
355,01/19/22 09:00:00 PM,1100.6,1100.0,3.88,,,,,
356,01/19/22 09:30:00 PM,1103.7,1103.2,3.94,,,,,
357,01/19/22 10:00:00 PM,1103.7,1103.2,3.92,,,,,
358,01/19/22 10:30:00 PM,1098.0,1097.8,3.77,,,,,
359,01/19/22 11:00:00 PM,1099.6,1098.9,3.80,,,,,
360,01/19/22 11:30:00 PM,1102.1,1101.2,3.88,,,,,
361,01/20/22 12:00:00 AM,1106.2,1105.5,4.01,,,,,
362,01/20/22 12:30:00 AM,1102.9,1102.5,3.86,,,,,
