"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21086715, SEN S/N: 21086715)","Intensity, lum/ft² (LGR S/N: 21086715, SEN S/N: 21086715)","Coupler Attached (LGR S/N: 21086715)","Host Connected (LGR S/N: 21086715)","Stopped (LGR S/N: 21086715)","End Of File (LGR S/N: 21086715)"
240,01/17/22 11:30:00 AM,5.141,248.0,,,,
241,01/17/22 12:00:00 PM,5.037,128.0,,,,
242,01/17/22 12:30:00 PM,4.831,184.0,,,,
243,01/17/22 01:00:00 PM,4.934,176.0,,,,
244,01/17/22 01:30:00 PM,5.037,208.0,,,,
245,01/17/22 02:00:00 PM,5.037,128.0,,,,
246,01/17/22 02:30:00 PM,5.037,152.0,,,,
247,01/17/22 03:00:00 PM,4.934,122.0,,,,
248,01/17/22 03:30:00 PM,4.623,90.0,,,,
249,01/17/22 04:00:00 PM,4.519,24.0,,,,
250,01/17/22 04:30:00 PM,4.623,8.0,,,,
251,01/17/22 05:00:00 PM,4.727,0.0,,,,
252,01/17/22 05:30:00 PM,4.831,0.0,,,,
253,01/17/22 06:00:00 PM,4.831,0.0,,,,
254,01/17/22 06:30:00 PM,4.727,0.0,,,,
255,01/17/22 07:00:00 PM,4.727,0.0,,,,
256,01/17/22 07:30:00 PM,4.727,0.0,,,,
257,01/17/22 08:00:00 PM,4.727,0.0,,,,
258,01/17/22 08:30:00 PM,4.727,0.0,,,,
259,01/17/22 09:00:00 PM,4.727,0.0,,,,
260,01/17/22 09:30:00 PM,4.727,0.0,,,,
261,01/17/22 10:00:00 PM,4.831,0.0,,,,
262,01/17/22 10:30:00 PM,4.727,0.0,,,,
263,01/17/22 11:00:00 PM,4.727,0.0,,,,
264,01/17/22 11:30:00 PM,4.727,0.0,,,,
265,01/18/22 12:00:00 AM,4.727,0.0,,,,
266,01/18/22 12:30:00 AM,4.727,0.0,,,,
267,01/18/22 01:00:00 AM,4.727,0.0,,,,
268,01/18/22 01:30:00 AM,4.727,0.0,,,,
269,01/18/22 02:00:00 AM,4.727,0.0,,,,
270,01/18/22 02:30:00 AM,4.623,0.0,,,,
271,01/18/22 03:00:00 AM,4.727,0.0,,,,
272,01/18/22 03:30:00 AM,4.623,0.0,,,,
273,01/18/22 04:00:00 AM,4.727,0.0,,,,
274,01/18/22 04:30:00 AM,4.623,0.0,,,,
275,01/18/22 05:00:00 AM,4.623,0.0,,,,
276,01/18/22 05:30:00 AM,4.623,0.0,,,,
277,01/18/22 06:00:00 AM,4.519,0.0,,,,
278,01/18/22 06:30:00 AM,4.519,0.0,,,,
279,01/18/22 07:00:00 AM,4.519,0.0,,,,
280,01/18/22 07:30:00 AM,4.519,1.0,,,,
281,01/18/22 08:00:00 AM,4.623,14.0,,,,
282,01/18/22 08:30:00 AM,4.519,25.0,,,,
283,01/18/22 09:00:00 AM,4.623,56.0,,,,
284,01/18/22 09:30:00 AM,4.623,79.0,,,,
285,01/18/22 10:00:00 AM,4.727,152.0,,,,
286,01/18/22 10:30:00 AM,4.727,120.0,,,,
287,01/18/22 11:00:00 AM,4.727,144.0,,,,
288,01/18/22 11:30:00 AM,4.831,152.0,,,,
289,01/18/22 12:00:00 PM,4.831,152.0,,,,
290,01/18/22 12:30:00 PM,5.037,272.0,,,,
291,01/18/22 01:00:00 PM,4.934,160.0,,,,
292,01/18/22 01:30:00 PM,4.934,152.0,,,,
293,01/18/22 02:00:00 PM,5.037,200.0,,,,
294,01/18/22 02:30:00 PM,4.934,160.0,,,,
295,01/18/22 03:00:00 PM,4.831,115.0,,,,
296,01/18/22 03:30:00 PM,4.623,54.0,,,,
297,01/18/22 04:00:00 PM,4.727,23.0,,,,
298,01/18/22 04:30:00 PM,4.727,7.0,,,,
299,01/18/22 05:00:00 PM,4.727,0.0,,,,
300,01/18/22 05:30:00 PM,4.727,0.0,,,,
301,01/18/22 06:00:00 PM,4.727,0.0,,,,
302,01/18/22 06:30:00 PM,4.727,0.0,,,,
303,01/18/22 07:00:00 PM,4.727,0.0,,,,
304,01/18/22 07:30:00 PM,4.623,0.0,,,,
305,01/18/22 08:00:00 PM,4.623,0.0,,,,
306,01/18/22 08:30:00 PM,4.623,0.0,,,,
307,01/18/22 09:00:00 PM,4.623,0.0,,,,
308,01/18/22 09:30:00 PM,4.623,0.0,,,,
309,01/18/22 10:00:00 PM,4.727,0.0,,,,
310,01/18/22 10:30:00 PM,4.727,0.0,,,,
311,01/18/22 11:00:00 PM,4.727,0.0,,,,
312,01/18/22 11:30:00 PM,4.727,0.0,,,,
313,01/19/22 12:00:00 AM,4.623,0.0,,,,
314,01/19/22 12:30:00 AM,4.727,0.0,,,,
315,01/19/22 01:00:00 AM,4.727,0.0,,,,
316,01/19/22 01:30:00 AM,4.727,0.0,,,,
317,01/19/22 02:00:00 AM,4.623,0.0,,,,
318,01/19/22 02:30:00 AM,4.727,0.0,,,,
319,01/19/22 03:00:00 AM,4.727,0.0,,,,
320,01/19/22 03:30:00 AM,4.727,0.0,,,,
321,01/19/22 04:00:00 AM,4.727,0.0,,,,
322,01/19/22 04:30:00 AM,4.727,0.0,,,,
323,01/19/22 05:00:00 AM,4.727,0.0,,,,
324,01/19/22 05:30:00 AM,4.831,0.0,,,,
325,01/19/22 06:00:00 AM,4.727,0.0,,,,
326,01/19/22 06:30:00 AM,4.831,0.0,,,,
327,01/19/22 07:00:00 AM,4.831,0.0,,,,
328,01/19/22 07:30:00 AM,4.831,3.0,,,,
329,01/19/22 08:00:00 AM,4.831,13.0,,,,
330,01/19/22 08:30:00 AM,4.831,23.0,,,,
331,01/19/22 09:00:00 AM,4.727,31.0,,,,
332,01/19/22 09:30:00 AM,4.727,168.0,,,,
333,01/19/22 10:00:00 AM,4.623,208.0,,,,
334,01/19/22 10:30:00 AM,4.623,240.0,,,,
335,01/19/22 11:00:00 AM,4.623,256.0,,,,
336,01/19/22 11:30:00 AM,4.727,256.0,,,,
337,01/19/22 12:00:00 PM,4.727,272.0,,,,
338,01/19/22 12:30:00 PM,4.831,272.0,,,,
339,01/19/22 01:00:00 PM,4.831,248.0,,,,
340,01/19/22 01:30:00 PM,4.831,224.0,,,,
341,01/19/22 02:00:00 PM,4.831,192.0,,,,
342,01/19/22 02:30:00 PM,4.727,160.0,,,,
343,01/19/22 03:00:00 PM,4.623,125.0,,,,
344,01/19/22 03:30:00 PM,4.623,85.0,,,,
345,01/19/22 04:00:00 PM,4.519,23.0,,,,
346,01/19/22 04:30:00 PM,4.519,8.0,,,,
347,01/19/22 05:00:00 PM,4.519,0.0,,,,
348,01/19/22 05:30:00 PM,4.519,0.0,,,,
349,01/19/22 06:00:00 PM,4.415,0.0,,,,
350,01/19/22 06:30:00 PM,4.207,0.0,,,,
351,01/19/22 07:00:00 PM,4.207,0.0,,,,
352,01/19/22 07:30:00 PM,4.207,0.0,,,,
353,01/19/22 08:00:00 PM,4.207,0.0,,,,
354,01/19/22 08:30:00 PM,4.102,0.0,,,,
355,01/19/22 09:00:00 PM,4.207,0.0,,,,
356,01/19/22 09:30:00 PM,4.311,0.0,,,,
357,01/19/22 10:00:00 PM,4.207,0.0,,,,
358,01/19/22 10:30:00 PM,4.102,0.0,,,,
359,01/19/22 11:00:00 PM,4.102,0.0,,,,
360,01/19/22 11:30:00 PM,4.207,0.0,,,,
361,01/20/22 12:00:00 AM,4.415,0.0,,,,
362,01/20/22 12:30:00 AM,4.102,0.0,,,,
363,01/20/22 01:00:00 AM,3.998,0.0,,,,
364,01/20/22 01:30:00 AM,3.893,0.0,,,,
365,01/20/22 02:00:00 AM,3.893,0.0,,,,
366,01/20/22 02:30:00 AM,3.788,0.0,,,,
367,01/20/22 03:00:00 AM,3.788,0.0,,,,
368,01/20/22 03:30:00 AM,3.788,0.0,,,,
369,01/20/22 04:00:00 AM,3.788,0.0,,,,
370,01/20/22 04:30:00 AM,3.788,0.0,,,,
371,01/20/22 05:00:00 AM,3.788,0.0,,,,
372,01/20/22 05:30:00 AM,3.683,0.0,,,,
373,01/20/22 06:00:00 AM,3.683,0.0,,,,
374,01/20/22 06:30:00 AM,3.683,0.0,,,,
375,01/20/22 07:00:00 AM,3.683,0.0,,,,
376,01/20/22 07:30:00 AM,3.578,2.0,,,,
377,01/20/22 08:00:00 AM,3.578,11.0,,,,
378,01/20/22 08:30:00 AM,3.578,17.0,,,,
379,01/20/22 09:00:00 AM,3.578,22.0,,,,
380,01/20/22 09:30:00 AM,3.578,123.0,,,,
381,01/20/22 10:00:00 AM,3.472,36.0,,,,
382,01/20/22 10:30:00 AM,3.578,53.0,,,,
383,01/20/22 11:00:00 AM,3.788,272.0,,,,
384,01/20/22 11:30:00 AM,3.788,272.0,,,,
385,01/20/22 12:00:00 PM,3.893,272.0,,,,
386,01/20/22 12:30:00 PM,3.998,272.0,,,,
387,01/20/22 01:00:00 PM,3.998,256.0,,,,
388,01/20/22 01:30:00 PM,3.893,232.0,,,,
389,01/20/22 02:00:00 PM,3.998,208.0,,,,
390,01/20/22 02:30:00 PM,3.998,168.0,,,,
391,01/20/22 03:00:00 PM,3.998,128.0,,,,
392,01/20/22 03:30:00 PM,3.998,91.0,,,,
393,01/20/22 04:00:00 PM,3.893,25.0,,,,
394,01/20/22 04:30:00 PM,3.788,9.0,,,,
395,01/20/22 05:00:00 PM,3.788,0.0,,,,
396,01/20/22 05:30:00 PM,3.788,0.0,,,,
397,01/20/22 06:00:00 PM,3.788,0.0,,,,
398,01/20/22 06:30:00 PM,3.788,0.0,,,,
399,01/20/22 07:00:00 PM,3.788,0.0,,,,
400,01/20/22 07:30:00 PM,3.788,0.0,,,,
401,01/20/22 08:00:00 PM,3.788,0.0,,,,
402,01/20/22 08:30:00 PM,3.788,0.0,,,,
403,01/20/22 09:00:00 PM,3.788,0.0,,,,
404,01/20/22 09:30:00 PM,3.788,0.0,,,,
405,01/20/22 10:00:00 PM,3.788,0.0,,,,
406,01/20/22 10:30:00 PM,3.788,0.0,,,,
407,01/20/22 11:00:00 PM,3.683,0.0,,,,
408,01/20/22 11:30:00 PM,3.683,0.0,,,,
409,01/21/22 12:00:00 AM,3.893,0.0,,,,
410,01/21/22 12:30:00 AM,3.893,0.0,,,,
411,01/21/22 01:00:00 AM,3.893,0.0,,,,
412,01/21/22 01:30:00 AM,3.788,0.0,,,,
413,01/21/22 02:00:00 AM,3.788,0.0,,,,
414,01/21/22 02:30:00 AM,3.788,0.0,,,,
415,01/21/22 03:00:00 AM,3.788,0.0,,,,
416,01/21/22 03:30:00 AM,3.683,0.0,,,,
417,01/21/22 04:00:00 AM,3.788,0.0,,,,
418,01/21/22 04:30:00 AM,3.788,0.0,,,,
419,01/21/22 05:00:00 AM,3.683,0.0,,,,
420,01/21/22 05:30:00 AM,3.788,0.0,,,,
421,01/21/22 06:00:00 AM,3.683,0.0,,,,
422,01/21/22 06:30:00 AM,3.683,0.0,,,,
423,01/21/22 07:00:00 AM,3.578,0.0,,,,
424,01/21/22 07:30:00 AM,3.578,3.0,,,,
425,01/21/22 08:00:00 AM,3.578,12.0,,,,
426,01/21/22 08:30:00 AM,3.578,19.0,,,,
427,01/21/22 09:00:00 AM,3.472,23.0,,,,
428,01/21/22 09:30:00 AM,3.578,184.0,,,,
429,01/21/22 10:00:00 AM,3.683,232.0,,,,
430,01/21/22 10:30:00 AM,3.578,256.0,,,,
431,01/21/22 11:00:00 AM,3.788,272.0,,,,
432,01/21/22 11:30:00 AM,3.893,288.0,,,,
433,01/21/22 12:00:00 PM,3.998,288.0,,,,
434,01/21/22 12:30:00 PM,4.102,288.0,,,,
435,01/21/22 01:00:00 PM,3.893,272.0,,,,
436,01/21/22 01:30:00 PM,3.893,248.0,,,,
437,01/21/22 02:00:00 PM,3.893,216.0,,,,
438,01/21/22 02:30:00 PM,3.998,176.0,,,,
439,01/21/22 03:00:00 PM,3.998,136.0,,,,
440,01/21/22 03:30:00 PM,3.998,99.0,,,,
441,01/21/22 04:00:00 PM,3.998,27.0,,,,
442,01/21/22 04:30:00 PM,3.998,10.0,,,,
443,01/21/22 05:00:00 PM,3.893,0.0,,,,
444,01/21/22 05:30:00 PM,3.893,0.0,,,,
445,01/21/22 06:00:00 PM,3.893,0.0,,,,
446,01/21/22 06:30:00 PM,3.893,0.0,,,,
447,01/21/22 07:00:00 PM,3.893,0.0,,,,
448,01/21/22 07:30:00 PM,3.893,0.0,,,,
449,01/21/22 08:00:00 PM,3.893,0.0,,,,
450,01/21/22 08:30:00 PM,3.893,0.0,,,,
451,01/21/22 09:00:00 PM,3.893,0.0,,,,
452,01/21/22 09:30:00 PM,3.893,0.0,,,,
453,01/21/22 10:00:00 PM,3.893,0.0,,,,
454,01/21/22 10:30:00 PM,3.893,0.0,,,,
455,01/21/22 11:00:00 PM,3.893,0.0,,,,
456,01/21/22 11:30:00 PM,3.893,0.0,,,,
457,01/22/22 12:00:00 AM,3.893,0.0,,,,
458,01/22/22 12:30:00 AM,3.893,0.0,,,,
